Area (sqft),Living Area (sqft),Bedrooms,Bathrooms,Garage,Age of House (years),Location Score,Price (INR),Number of Floors
1850,1543,3,3,0,20,10,9925000,2
2282,1395,4,3,0,0,9,12519000,2
2155,1711,4,3,0,15,2,11297500,4
2694,2383,1,2,0,5,1,12773000,2
1856,1208,2,2,1,13,6,9542000,1
2149,1558,4,3,1,24,1,11190500,3
1766,1364,3,1,0,24,10,9067000,2
1996,1467,4,1,1,10,10,10832000,2
3303,2596,5,3,1,0,10,17613500,4
1070,771,3,1,1,19,7,6035000,2
1635,1053,3,1,0,16,7,8487500,2
1953,1223,4,2,0,22,1,9998500,2
3383,2785,1,1,1,18,10,16013500,4
3431,2304,3,1,1,1,5,16919500,2
1567,1338,5,3,1,13,3,9191500,3
957,787,1,2,0,7,2,4966500,4
1267,778,1,2,0,24,5,6171500,3
972,641,1,1,1,22,5,4834000,4
1631,1121,3,3,0,21,2,8519500,2
1745,1358,1,2,0,25,6,8352500,3
1971,1661,4,2,0,28,7,10259500,4
3323,2053,1,1,1,26,1,15133500,1
689,464,5,2,0,5,3,5050500,2
3345,2384,2,3,0,8,4,16292500,4
1139,746,5,3,1,4,2,7395500,1
3379,2580,3,2,1,4,10,17075500,4
1468,1091,1,3,1,17,5,7566000,1
640,444,1,3,0,21,4,3560000,2
1339,1011,4,1,0,13,2,7265500,3
2546,1799,1,2,0,11,1,11987000,1
3149,2213,5,2,0,27,8,15930500,4
1824,1239,3,1,0,11,2,9188000,2
1528,1164,2,1,0,21,4,7456000,1
2636,1932,1,1,1,5,10,12912000,4
3108,2047,2,1,0,3,5,14976000,4
3379,2040,1,3,0,26,2,15685500,4
3399,2193,3,3,1,14,10,17165500,1
1524,933,5,1,1,22,9,8718000,1
2181,1590,3,2,0,14,2,10934500,1
989,660,2,2,0,24,6,5270500,3
2217,1609,1,2,1,16,7,10856500,1
855,597,2,1,0,2,6,4907500,1
1308,995,5,3,1,9,4,8156000,1
2438,1992,3,3,1,24,1,12191000,3
2544,1892,2,3,0,29,2,12168000,1
3097,1915,2,3,1,20,10,15386500,4
609,368,5,2,0,21,10,4720500,1
3471,2304,1,2,1,7,6,16629500,4
1397,1016,2,3,1,8,8,7876500,4
1476,905,5,1,1,23,3,8182000,4
1628,1136,1,3,0,2,7,8536000,3
1615,1398,1,3,0,25,9,8117500,3
2424,1519,3,1,0,0,4,12208000,3
973,860,5,3,0,10,7,6628500,1
2793,2393,1,2,0,12,7,13378500,4
823,699,3,1,0,11,10,5083500,3
1862,1599,4,1,1,28,9,9819000,3
2824,1762,5,3,1,20,3,14708000,1
2402,1550,4,2,0,6,1,12339000,3
1452,929,1,2,0,1,8,7614000,1
662,419,5,2,0,0,4,5079000,2
1840,1284,3,3,1,19,2,9650000,3
3474,2949,1,3,0,2,5,16743000,2
3442,2325,5,2,0,3,4,17529000,1
1288,867,5,3,0,16,1,7626000,4
2084,1672,4,2,1,17,7,11138000,3
2233,1404,1,3,1,16,4,10978500,1
2752,1948,3,1,1,18,8,13674000,4
1110,764,3,1,1,3,9,6635000,4
984,840,1,3,0,28,8,5168000,2
1004,757,1,3,0,16,1,5148000,1
3470,2754,2,2,0,21,8,16595000,4
1117,713,4,1,1,1,5,6806500,3
1075,944,1,2,0,9,1,5407500,3
2600,1811,1,3,1,11,9,12980000,2
3356,2725,2,2,0,12,9,16312000,4
2268,2010,2,2,0,10,7,11356000,1
2493,1876,5,3,0,20,7,13268500,3
3418,2571,3,1,0,7,1,16391000,4
2060,1308,4,2,1,27,9,10930000,4
3324,2383,5,3,1,28,1,16698000,2
1313,1123,1,2,1,19,7,6728500,3
682,436,2,3,0,4,9,4639000,3
1768,1547,3,3,1,24,9,9576000,1
3104,2483,5,3,0,1,5,16298000,3
2501,1816,3,1,0,11,6,12434500,1
2648,2022,2,1,0,27,2,12276000,3
650,419,5,3,0,1,2,5105000,2
1284,854,5,1,0,5,10,7878000,3
1316,902,3,2,1,21,9,7402000,1
2069,1480,2,1,1,18,1,9950500,1
1048,916,1,1,0,11,10,5496000,2
1480,1051,5,2,0,24,5,8330000,3
1087,823,1,2,1,12,7,5851500,3
2423,1571,2,2,0,16,10,12083500,2
2681,2200,5,3,1,11,6,14394500,3
2742,2106,5,2,0,2,6,14499000,3
2174,1591,1,2,1,23,6,10473000,1
2801,2476,4,2,0,7,8,14464500,3
849,736,1,3,1,15,7,4920500,3
1273,1015,1,1,0,3,5,6418500,2
1037,908,4,3,0,23,10,6506500,2
2765,2127,2,1,0,26,2,12822500,4
1370,1161,2,2,0,25,10,7165000,1
867,626,5,3,0,12,6,6061500,3
2584,1617,3,3,1,7,10,13638000,3
1677,1506,3,1,0,0,5,8896500,4
835,542,5,3,0,2,4,6017500,3
988,667,3,3,0,0,10,6446000,1
1362,883,1,1,0,14,5,6599000,4
2448,1716,1,3,1,17,9,12176000,1
3048,2093,4,3,1,19,2,15386000,4
1223,954,4,2,1,2,6,7513500,4
3414,3068,5,2,0,28,9,17153000,2
1852,1140,5,2,0,14,10,10454000,1
1177,981,5,2,0,26,5,6926500,3
2722,1737,1,2,0,21,6,12829000,3
1034,626,3,3,0,27,10,6113000,1
2750,2176,5,3,1,27,4,14285000,3
1363,1174,5,2,1,4,5,8353500,3
3385,2210,1,1,1,20,8,15882500,1
3453,2425,1,2,0,9,1,16108500,4
1929,1255,1,3,1,6,1,9660500,1
2745,2393,3,1,1,22,10,13662500,4
3445,2346,5,2,0,24,4,17122500,3
1958,1436,2,1,1,7,10,10121000,3
3082,2676,2,2,0,2,3,14979000,3
1046,801,5,3,0,17,5,6717000,2
2617,2302,5,2,0,16,10,13856500,4
1931,1695,5,1,0,15,8,10489500,2
848,626,5,3,0,25,1,5466000,2
765,592,3,2,1,21,5,4722500,1
1958,1310,2,2,0,28,5,9501000,2
1619,1452,4,2,0,12,2,8745500,1
1141,779,2,2,1,3,5,6474500,1
1358,1133,2,3,0,2,8,7671000,2
2728,1892,1,3,0,10,10,13476000,4
2780,1929,5,2,1,26,7,14390000,4
1396,881,5,3,1,1,2,8612000,4
737,565,5,1,0,17,6,4976500,4
2831,1906,1,3,1,26,10,13769500,4
1953,1258,3,1,0,3,1,9878500,2
3432,2292,3,1,1,16,10,16874000,2
2475,1671,4,3,1,5,10,13487500,3
668,501,3,2,0,9,3,4276000,4
3193,2285,3,3,0,10,6,15968500,2
2700,1681,5,1,0,4,9,14220000,3
2073,1577,2,1,1,25,1,9828500,4
804,672,3,3,1,24,6,5088000,1
2773,2141,3,1,1,17,2,13488500,3
642,572,1,3,0,24,9,3759000,2
2506,1578,4,3,1,24,2,12847000,1
2758,2334,1,2,0,9,3,13081000,1
1360,1022,5,1,0,8,2,7760000,1
3495,2643,2,3,1,15,4,16977500,3
2742,2072,4,1,1,9,4,13909000,2
2594,1809,1,3,1,9,10,13043000,1
2535,1767,3,3,1,3,1,13047500,4
1499,1183,3,2,1,20,8,8195500,1
959,588,4,3,0,23,5,5905500,1
2319,1801,3,2,1,13,8,12025500,3
880,719,1,1,0,7,6,4620000,3
2487,1758,1,2,1,0,2,12141500,2
1266,842,3,2,1,15,7,7197000,4
692,459,3,1,0,25,10,4214000,3
1271,793,5,2,1,16,9,7899500,1
2569,1610,2,2,1,9,7,12880500,2
660,429,4,3,0,5,5,4920000,1
3281,1987,1,2,0,6,4,15544500,1
1628,1106,4,3,1,17,8,9336000,3
2089,1445,5,2,1,1,6,11730500,2
1203,1080,1,1,1,20,5,5913500,4
1281,1149,5,1,0,8,7,7654500,4
3181,2087,5,2,1,4,3,16434500,3
2028,1346,3,3,1,7,9,11086000,3
3485,2605,4,2,1,23,4,17172500,2
3292,2122,4,3,0,4,4,16734000,4
2880,2163,3,2,1,23,8,14350000,4
1123,808,4,1,0,14,6,6473500,4
2993,2087,3,1,0,7,1,14478500,1
3193,2703,1,3,0,4,2,15288500,4
2568,2178,5,2,0,4,9,13826000,1
1701,1524,5,3,0,19,6,9674500,2
2353,1569,4,1,1,16,7,12168500,1
2436,2110,2,3,0,8,9,12452000,2
3441,2619,5,2,1,1,3,17664500,4
2896,2251,3,3,1,0,5,14932000,4
2694,2340,2,2,0,21,5,12953000,2
1744,1539,2,2,0,20,10,8948000,3
2861,2340,5,1,0,10,7,14724500,2
2886,2032,5,2,0,14,2,14707000,3
1679,1254,5,2,1,0,4,9805500,1
2997,2351,3,2,1,6,4,15016500,1
706,599,2,3,0,22,8,4337000,1
3478,2773,4,1,0,18,10,17191000,4
647,459,3,3,1,23,3,4251500,1
936,678,1,3,1,14,2,5082000,3
1649,1014,5,1,0,5,9,9470500,1
3451,3027,2,3,1,19,4,16699500,2
1880,1177,3,3,1,25,9,10060000,2
2655,2054,1,2,1,25,6,12597500,4
1224,1054,3,3,0,9,1,6878000,2
2490,1808,3,1,0,11,3,12235000,3
1876,1575,4,3,1,12,7,10502000,1
2315,1947,4,2,0,14,9,12187500,4
3366,2080,3,3,1,18,8,16837000,1
902,652,1,1,1,16,5,4639000,1
1238,999,2,2,0,12,8,6731000,3
655,475,2,3,0,1,2,4227500,2
1325,1011,5,1,1,17,3,7622500,2
1125,875,5,1,0,28,8,6602500,1
1073,692,2,3,0,10,9,6278500,4
627,453,3,3,0,4,10,4741500,2
2725,1658,3,2,0,3,8,13902500,4
964,621,4,3,1,1,4,6468000,2
3313,2496,4,2,1,26,6,16438500,4
1125,868,5,3,0,15,5,7112500,3
3346,2154,2,1,1,24,4,15727000,4
1935,1599,3,1,0,6,9,10137500,3
1482,1055,2,1,0,7,10,7829000,3
1630,1428,1,1,0,7,3,7845000,4
1626,1164,2,2,1,1,1,8497000,3
2246,1448,1,1,1,14,7,10827000,1
1518,1255,4,2,1,4,10,9001000,3
3397,2616,4,2,0,18,8,16926500,2
3010,2155,5,2,1,9,3,15565000,4
2374,1677,2,3,1,8,3,12023000,1
2131,1374,2,2,0,24,6,10409500,4
3453,2424,1,3,0,21,2,16118500,2
3386,2061,4,2,0,28,6,16577000,2
2506,1881,1,3,0,19,5,12047000,2
1815,1577,4,3,1,7,7,10327500,3
2254,1890,1,1,1,4,9,11163000,3
1084,659,4,2,0,18,9,6568000,4
2675,2312,1,3,0,12,1,12747500,4
1313,965,4,1,0,26,7,7138500,1
1662,1092,1,2,0,13,3,8069000,1
2576,2127,2,1,1,7,4,12602000,4
1896,1321,5,3,0,15,2,10432000,3
1854,1253,1,1,0,29,1,8313000,2
2733,1772,5,1,1,29,10,14068500,4
725,540,2,2,0,27,3,3872500,1
3459,2172,2,3,0,21,10,16845500,3
1136,949,4,2,0,4,9,7082000,4
2792,2069,5,2,0,0,1,14514000,4
2672,1961,3,1,0,18,3,12914000,3
2203,1323,4,3,1,22,5,11673500,4
666,563,5,2,1,18,3,4837000,3
832,622,1,3,1,16,4,4674000,2
2756,2017,1,2,1,23,4,12992000,3
1769,1465,2,1,0,22,1,8370500,3
2758,1706,3,2,0,20,6,13611000,3
2875,2041,1,2,0,27,7,13447500,4
710,548,5,2,0,9,7,5265000,4
2093,1544,5,3,0,4,6,11738500,3
2681,1754,1,1,0,21,7,12494500,4
1222,842,5,3,1,6,3,7779000,1
3395,2342,5,2,0,15,5,17127500,1
3242,2909,2,1,0,28,7,15179000,4
3072,2143,3,3,1,2,10,15934000,4
3260,2156,2,2,1,26,5,15550000,3
2141,1812,3,1,0,11,10,11014500,2
3339,2425,5,1,1,13,2,16715500,4
1905,1396,3,2,1,27,6,9782500,1
2361,1805,5,1,0,19,7,12294500,3
2575,2005,5,1,0,0,2,13387500,4
2962,2301,2,3,1,6,10,15059000,1
1476,900,2,1,1,25,8,7492000,1
2589,2189,4,3,1,17,5,13510500,2
1912,1258,1,3,1,22,8,9614000,3
2060,1416,4,3,1,21,3,10950000,3
3309,2157,4,3,1,3,2,16880500,2
2924,2427,3,1,0,15,7,14308000,2
2333,1808,5,1,0,10,5,12248500,3
2205,1822,5,3,1,17,5,12082500,3
2126,1692,5,1,1,22,8,11377000,4
3271,2064,1,3,0,15,9,15769500,4
3163,2183,3,3,1,6,8,16163500,2
3490,2625,3,3,0,20,10,17305000,4
2997,2072,5,2,1,24,2,15156500,1
2230,1476,4,1,1,2,10,12045000,4
3470,2987,1,1,1,24,7,16135000,4
1760,1450,4,3,1,4,5,10040000,1
1358,955,2,1,0,17,7,6921000,2
842,698,3,3,0,24,3,4959000,1
3190,2514,3,1,0,29,4,15075000,4
1663,999,4,3,0,16,7,9313500,2
828,591,1,3,1,0,2,4876000,4
3195,2195,3,2,0,15,2,15477500,1
1519,1010,4,3,0,14,1,8405500,1
1846,1246,1,2,0,12,1,8817000,4
605,534,4,1,1,6,1,4202500,3
1067,795,1,1,1,2,6,5711500,3
2355,2011,5,2,1,23,5,12437500,1
674,447,1,1,1,22,10,3743000,1
603,393,2,2,1,26,8,3743500,3
2470,2140,5,1,0,12,5,12825000,3
1245,932,4,2,0,15,1,6952500,4
717,622,5,2,0,22,8,5086500,4
2229,1379,5,3,0,0,6,12430500,3
3151,2756,4,1,1,0,8,16129500,4
2621,1899,4,3,0,27,2,13154500,4
1546,999,2,2,1,15,10,8307000,2
3221,2592,4,3,1,29,8,16264500,4
2064,1731,3,2,0,1,6,10868000,1
793,487,3,1,0,17,1,4378500,4
1446,1295,2,1,0,26,1,6837000,4
3362,2720,1,1,0,20,10,15729000,3
2015,1403,1,2,0,24,5,9537500,1
2058,1328,3,3,1,22,7,10821000,4
2820,2024,4,1,0,29,4,13710000,4
2268,1510,2,2,1,17,10,11516000,2
2973,2224,1,3,1,4,5,14598500,4
2033,1696,1,2,0,4,10,10268500,4
1741,1389,5,2,1,7,3,9894500,2
3483,2545,3,1,1,8,2,16863500,3
2410,1531,4,2,1,23,2,12235000,4
1323,1173,2,2,1,13,5,7093500,2
824,561,1,3,1,12,4,4718000,1
1131,772,5,1,0,17,2,6549500,3
712,565,3,2,0,3,5,4694000,1
2787,2316,3,2,0,17,10,14001500,1
1158,1036,2,3,1,21,9,6591000,2
2648,2358,1,2,1,19,8,12786000,4
2737,2392,2,2,0,14,9,13486500,2
1253,915,2,2,1,6,9,7118500,2
919,597,5,2,1,12,8,6345500,2
2173,1684,3,2,1,1,9,11658500,2
2428,1469,4,3,1,8,4,12916000,3
2517,1658,3,2,1,29,8,12596500,4
738,443,3,2,0,4,2,4641000,1
3492,2284,5,2,0,0,9,18064000,1
2626,1949,4,2,1,27,9,13477000,4
2906,2086,1,1,0,26,3,13207000,1
1501,1066,4,1,0,18,6,8094500,4
1289,1094,1,1,1,19,7,6420500,1
2639,2117,4,1,0,18,3,13065500,2
609,536,2,3,0,21,5,3770500,1
860,630,4,1,1,28,1,4910000,4
2542,1732,5,3,0,12,3,13449000,4
2273,1447,1,1,1,5,8,11178500,4
2819,2259,3,3,0,9,3,14155500,4
2660,2267,5,1,0,28,8,13510000,4
1791,1173,1,2,0,10,9,9009500,3
2219,1916,1,1,0,22,6,10345500,3
920,697,3,1,1,29,7,5160000,1
1942,1249,2,1,1,24,6,9509000,4
2236,1772,5,2,0,15,8,12062000,1
2976,2249,3,3,1,25,7,14892000,4
3432,2088,3,3,1,24,10,17114000,4
3424,2464,2,2,0,22,1,16018000,3
2594,2167,5,1,0,26,3,13003000,3
2543,1949,3,1,1,0,3,12843500,2
2638,1806,2,1,1,18,3,12611000,3
1718,1509,5,3,1,4,4,10101000,2
2204,1479,4,3,1,25,1,11418000,2
2965,2003,1,2,0,27,2,13602500,2
835,589,2,2,1,26,5,4637500,2
2569,2230,1,3,1,5,6,12810500,2
933,701,4,1,1,5,9,6098500,1
2508,2018,3,1,0,4,2,12406000,3
975,870,3,1,1,5,9,5987500,2
1760,1469,5,1,1,24,7,9640000,4
3235,2108,2,2,0,12,9,15767500,3
2170,1815,2,2,0,29,4,10385000,3
3160,2605,5,3,1,0,7,16820000,2
1919,1285,1,2,0,0,1,9385500,1
2455,1712,3,1,1,24,8,12217500,2
1972,1603,3,3,1,13,7,10614000,1
1472,988,2,2,0,7,7,7834000,4
1852,1226,2,2,0,8,2,9274000,3
2917,2365,5,2,0,22,10,15086500,4
2451,2118,4,2,1,9,9,13049500,1
3445,2144,1,2,0,5,8,16502500,1
1914,1404,4,1,1,8,1,10053000,4
1324,1035,4,1,0,17,1,7068000,1
2652,2129,2,1,1,14,5,12854000,4
3498,3144,2,2,1,3,2,16931000,3
677,544,2,3,0,1,1,4276500,4
3221,2531,4,1,0,29,10,15814500,3
731,655,1,1,1,5,8,4239500,4
1200,741,2,2,0,16,4,6280000,1
2372,1476,3,3,0,6,2,12154000,4
1665,1279,1,1,0,22,5,7802500,1
2736,1935,3,1,0,22,6,13272000,4
3049,1917,1,3,0,29,8,14440500,4
2943,2036,2,2,0,19,7,14213500,2
2463,1976,5,3,0,14,7,13253500,1
1918,1657,2,2,1,23,1,9371000,2
1215,763,4,1,0,20,3,6617500,1
3447,2626,4,3,1,1,3,17591500,2
3069,2114,1,3,0,20,7,14660500,3
2488,1990,4,1,1,11,2,12626000,4
1646,1258,2,1,1,9,10,8677000,1
1174,1030,3,2,0,24,7,6453000,1
2790,1705,2,1,0,25,9,13305000,4
1592,1179,1,1,0,16,1,7394000,1
3312,2178,4,3,0,26,2,16284000,1
2792,2124,3,2,1,17,6,13974000,2
1848,1582,5,1,1,15,2,9966000,1
1102,962,3,3,0,9,2,6379000,3
2597,1868,3,1,1,7,5,13046500,3
1420,1197,2,1,0,28,7,6980000,4
2751,1882,5,1,1,20,4,14029500,1
2570,1546,1,1,0,27,6,11825000,4
797,682,1,2,1,24,3,4106500,3
2269,1442,3,3,0,21,4,11490500,1
3226,1952,3,3,1,12,4,16127000,1
3038,2145,4,1,0,15,4,14971000,4
1802,1286,5,3,0,7,1,10119000,3
3201,1994,3,1,1,11,4,15634500,1
2071,1748,4,3,1,16,4,11149500,4
2246,1620,5,2,1,15,6,12157000,3
2292,1712,1,2,1,8,9,11454000,4
1912,1298,4,3,1,24,10,10574000,2
2635,1985,5,1,0,18,6,13497500,1
1077,893,4,1,1,16,6,6376500,2
1854,1616,3,1,1,23,7,9483000,3
1522,1356,2,1,1,7,7,8009000,2
1019,741,1,2,1,11,1,5265500,2
2804,2515,3,1,0,8,8,13958000,3
3197,2201,3,1,0,29,1,14956500,4
1720,1035,5,1,0,5,9,9790000,2
1550,1286,4,1,0,24,4,8095000,4
2936,1918,1,2,1,27,9,13972000,2
1877,1155,3,3,0,9,8,10166500,4
2843,2493,5,3,0,8,9,15183500,3
3245,2717,1,1,1,27,6,15012500,2
2457,1549,4,1,1,28,9,12496500,3
1116,929,3,3,1,3,4,6812000,2
2258,1926,3,2,1,10,3,11561000,3
2465,2148,3,2,1,20,3,12292500,3
1741,1328,1,2,1,21,8,8664500,2
3453,2800,1,2,0,5,2,16238500,2
2532,2098,1,2,0,25,6,11894000,2
1414,1140,1,2,1,17,9,7323000,1
2875,2282,5,2,0,3,9,15227500,4
2500,1910,2,2,1,11,8,12580000,1
2863,2129,5,2,1,8,8,15173500,1
2662,2392,3,1,0,14,1,12849000,3
2694,1889,5,2,0,22,7,13933000,2
2971,1861,4,1,0,8,1,14659500,4
3491,2895,1,3,0,5,9,16959500,3
729,484,4,1,0,10,3,4630500,1
694,527,4,3,1,6,1,5003000,2
3274,2058,3,1,0,24,8,15753000,3
3402,2673,1,3,0,13,7,16299000,2
2555,2256,4,1,1,27,2,12607500,3
1393,1137,3,1,0,15,7,7418500,2
2434,1617,1,3,0,14,5,11823000,1
2716,2420,2,2,0,19,7,13192000,4
2283,1580,3,2,0,8,10,11913500,1
610,445,5,2,0,18,7,4635000,4
2465,1847,1,2,1,29,2,11462500,2
3197,2868,4,2,0,11,2,15866500,3
1311,813,4,1,0,29,7,7069500,1
2670,2160,5,2,1,10,3,14015000,4
1414,1001,5,1,0,27,4,7723000,1
945,589,4,3,1,29,7,5972500,4
2949,2596,1,2,1,7,2,14080500,1
962,747,3,2,1,2,2,5839000,4
3043,2513,5,2,0,18,9,15683500,4
2865,1925,5,2,0,2,1,14802500,2
2788,2309,5,1,0,24,3,13916000,4
1584,1344,2,1,0,25,10,7928000,2
2239,1632,1,1,1,29,4,10345500,4
1427,1101,1,3,1,2,5,7681500,3
3330,2968,1,1,1,5,3,15685000,3
955,815,1,2,0,10,9,5247500,3
1947,1428,1,3,1,29,5,9481500,4
2463,1968,4,3,0,19,7,12853500,2
726,606,5,2,1,13,7,5407000,2
1203,730,4,2,1,1,9,7593500,4
2528,1963,2,2,1,11,2,12406000,3
1613,1444,3,2,0,15,3,8408500,3
650,574,5,1,1,27,4,4435000,2
3426,2911,2,3,1,2,8,17127000,3
2030,1282,4,2,0,20,1,10385000,1
2392,2148,3,1,1,15,9,12164000,2
3461,2709,2,2,1,9,5,16794500,3
2236,1491,3,1,0,19,4,10982000,2
2245,1801,2,2,0,4,8,11422500,1
3067,2628,4,2,0,12,9,15611500,2
1805,1143,3,2,0,11,3,9352500,2
3472,3037,2,1,1,26,4,16254000,2
2454,2149,4,2,1,0,1,12843000,2
1166,704,5,1,0,19,3,6717000,1
3018,2625,4,1,1,10,10,15431000,4
1535,1357,4,3,1,25,5,8607500,2
2534,1549,5,1,0,18,8,13143000,2
3308,2276,4,1,1,28,1,15926000,3
1932,1375,5,1,1,14,1,10314000,2
801,564,5,1,1,17,3,5264500,3
2960,2449,5,1,0,15,9,15170000,4
716,506,2,3,1,6,9,4902000,1
1536,1362,3,2,1,9,1,8232000,1
1174,1054,2,3,1,24,4,6353000,4
2891,2009,5,3,0,15,8,15209500,1
1136,854,3,2,0,16,2,6192000,4
2225,1707,3,1,1,27,4,10922500,4
2722,2106,5,2,1,6,7,14529000,4
985,701,3,1,0,10,7,5682500,1
1074,697,3,2,0,27,5,5843000,3
1017,626,2,3,0,16,7,5806500,4
2994,1891,3,1,0,4,6,14793000,2
3287,2860,5,3,1,0,2,17141500,1
1538,1052,1,1,0,2,9,7831000,4
1554,968,1,2,0,15,5,7643000,4
1475,1160,1,2,0,23,2,6977500,2
1362,847,5,2,0,28,6,7769000,3
1802,1119,1,2,1,14,10,9179000,3
1805,1419,2,2,1,3,5,9462500,3
1263,981,5,3,1,11,2,7813500,4
624,382,5,3,1,0,10,5558000,4
2590,1911,5,1,0,16,10,13535000,4
1803,1317,3,3,1,23,7,9653500,1
1309,1000,3,1,1,14,10,7360500,2
2479,2036,3,1,0,29,2,11775500,4
1784,1221,4,3,1,23,7,9868000,2
2824,2061,2,3,1,19,6,13978000,2
884,740,5,1,1,19,4,5648000,3
662,580,5,3,0,9,4,5099000,1
1602,1389,3,3,0,10,6,8809000,4
1261,937,5,3,0,17,9,7884500,3
3313,2505,5,2,1,1,10,17438500,3
2803,2126,1,2,0,27,6,13073500,4
2092,1800,5,1,0,5,6,11314000,2
1566,1334,4,3,1,15,1,8747000,3
1448,1004,3,1,0,23,5,7406000,2
1707,1107,2,3,1,6,1,8961500,1
1288,919,2,2,1,22,9,6956000,2
747,512,1,3,0,18,10,4401500,1
941,833,2,3,1,11,4,5564500,2
3123,2122,2,3,1,17,2,15163500,3
1686,1103,3,2,1,9,9,9307000,3
2324,2021,3,2,0,6,6,11938000,1
1983,1241,4,2,1,3,10,11113500,4
3208,2175,1,1,0,16,3,14766000,1
926,677,2,3,0,16,2,5147000,1
2392,1862,4,2,1,3,6,12754000,2
2359,1647,1,1,1,20,10,11365500,2
1589,1189,2,2,1,4,6,8520500,1
2862,1887,2,3,1,0,9,14679000,3
3082,2380,3,1,1,18,5,15009000,2
1551,1120,5,2,0,21,9,8909500,4
1322,1130,1,2,0,25,5,6399000,2
2679,1941,2,1,1,22,2,12665500,2
